feature,importance_mean,importance_std
num__price_sensitivity_proxy,0.07774690632767267,0.008706831316164428
cat__contract_Month-to-month,0.06189264237180988,0.008174822438793734
cat__dependents_No,0.050944401603182476,0.00672275321887372
cat__contract_Two year,0.012915482096581398,0.0030066925471261075
cat__internet_service_Fiber optic,0.008470986169075411,0.001432719588393324
num__zip_code,0.0066301725307711615,0.001734173622643396
cat__online_security_No,0.005342893737857668,0.0012584105887427594
cat__payment_method_Electronic check,0.004293411528748981,0.0009873329365810712
num__cltv,0.003146626333365277,0.0017152425714155302
num__monthly_charges,0.003136366494676401,0.002446605285706717
cat__multiple_lines_No,0.0028578615186546476,0.0006939669667077256
cat__paperless_billing_No,0.0023854124951596,0.0014106719140877418
num__total_charges,0.0023026718605720143,0.0015047133187273767
cat__tech_support_No,0.001958801783226061,0.0011707815699043623
num__tenure_months,0.0018325395748454375,0.001994496825541079
cat__partner_No,0.001546091497903268,0.001301082532611213
cat__phone_service_No,0.0014127135949481007,0.0003995747678658047
cat__internet_service_DSL,0.0012667591155356428,0.0005202349229243879
cat__senior_citizen_No,0.0009723679376730909,0.00045461846003546274
cat__gender_Female,0.0006979999933807047,0.0005055932402476489
cat__city_Bakersfield,0.0006639108519306159,0.0005485447234223243
cat__online_backup_No,0.0005968909379146736,0.0007190221320414888
cat__paperless_billing_Yes,0.0005434404879710697,0.000321216322028488
cat__online_security_Yes,0.00029273636517073153,0.00029546674818683267
cat__streaming_tv_Yes,0.00025599952341390784,0.0001546325727460688
cat__streaming_movies_Yes,0.00020850639916061286,0.00034292654304401407
cat__senior_citizen_Yes,0.00014976054860346144,7.279765355361548e-05
cat__tech_support_Yes,0.00014595447941242456,0.0003954973252788574
cat__city_San Francisco,0.00013205405280170002,0.00015744531841620324
cat__city_Irvine,0.000120470363959424,0.0003837294765453695
cat__city_Berkeley,0.00011153437542400501,0.00016912509544699886
cat__online_backup_Yes,0.00010954860019389834,0.0003991179056905122
cat__city_Oakland,9.879231769749364e-05,0.00015885003780201376
cat__multiple_lines_Yes,8.969084789284265e-05,0.00034655807877014455
cat__phone_service_Yes,7.264627716783157e-05,1.9822556340578984e-05
cat__tenure_bucket_6-12,7.231531462943419e-05,0.00014393836275245845
